ID	Gene Name
ALAS2	5'-aminolevulinate synthase 2(ALAS2)
ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2(ARFGEF2)
ATP6V1H	ATPase H+ transporting V1 subunit H(ATP6V1H)
BMS1	"BMS1, ribosome biogenesis factor(BMS1)"
C1D	C1D nuclear receptor corepressor(C1D)
DIS3	"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease(DIS3)"
EMG1	"EMG1, N1-specific pseudouridine methyltransferase(EMG1)"
FAU	"FAU, ubiquitin like and ribosomal protein S30 fusion(FAU)"
FCF1	FCF1 rRNA-processing protein(FCF1)
GNL2	G protein nucleolar 2(GNL2)
GNL3	G protein nucleolar 3(GNL3)
GSPT2	G1 to S phase transition 2(GSPT2)
GAR1	GAR1 ribonucleoprotein(GAR1)
GTPBP4	GTP binding protein 4(GTPBP4)
HEATR1	HEAT repeat containing 1(HEATR1)
IMP3	"IMP3, U3 small nucleolar ribonucleoprotein(IMP3)"
IMP4	"IMP4 homolog, U3 small nucleolar ribonucleoprotein(IMP4)"
IST1	"IST1, ESCRT-III associated factor(IST1)"
MPHOSPH10	M-phase phosphoprotein 10(MPHOSPH10)
NAT10	N-acetyltransferase 10(NAT10)
NHP2	NHP2 ribonucleoprotein(NHP2)
NOB1	NIN1/PSMD8 binding protein 1 homolog(NOB1)
NMD3	NMD3 ribosome export adaptor(NMD3)
NOP10	NOP10 ribonucleoprotein(NOP10)
NPC1	NPC intracellular cholesterol transporter 1(NPC1)
PHLPP2	PH domain and leucine rich repeat protein phosphatase 2(PHLPP2)
RIOK2	RIO kinase 2(RIOK2)
RBM28	RNA binding motif protein 28(RBM28)
POLR1A	RNA polymerase I subunit A(POLR1A)
POLR1B	RNA polymerase I subunit B(POLR1B)
RCL1	RNA terminal phosphate cyclase like 1(RCL1)
SEC24A	"SEC24 homolog A, COPII coat complex component(SEC24A)"
SEC31A	"SEC31 homolog A, COPII coat complex component(SEC31A)"
SEC23A	"Sec23 homolog A, coat complex II component(SEC23A)"
SKIV2L	Ski2 like RNA helicase(SKIV2L)
TAF1L	TATA-box binding protein associated factor 1 like(TAF1L)
UGP2	UDP-glucose pyrophosphorylase 2(UGP2)
UTP14A	UTP14A small subunit processome component(UTP14A)
UTP15	"UTP15, small subunit processome component(UTP15)"
UTP18	"UTP18, small subunit processome component(UTP18)"
WDR3	WD repeat domain 3(WDR3)
WDR33	WD repeat domain 33(WDR33)
WDR36	WD repeat domain 36(WDR36)
WDR43	WD repeat domain 43(WDR43)
WDR82	WD repeat domain 82(WDR82)
ACSF3	acyl-CoA synthetase family member 3(ACSF3)
ASNS	asparagine synthetase (glutamine-hydrolyzing)(ASNS)
CHIA	"chitinase, acidic(CHIA)"
CSTF3	cleavage stimulation factor subunit 3(CSTF3)
DCPS	"decapping enzyme, scavenger(DCPS)"
DCP2	decapping mRNA 2(DCP2)
PPIP5K1	diphosphoinositol pentakisphosphate kinase 1(PPIP5K1)
DKC1	dyskerin pseudouridine synthase 1(DKC1)
ENOPH1	enolase-phosphatase 1(ENOPH1)
EEF1D	eukaryotic translation elongation factor 1 delta(EEF1D)
EIF1AX	"eukaryotic translation initiation factor 1A, X-linked(EIF1AX)"
EIF1AY	"eukaryotic translation initiation factor 1A, Y-linked(EIF1AY)"
EIF1B	eukaryotic translation initiation factor 1B(EIF1B)
EIF2S1	eukaryotic translation initiation factor 2 subunit alpha(EIF2S1)
EIF2S2	eukaryotic translation initiation factor 2 subunit beta(EIF2S2)
EIF2S3	eukaryotic translation initiation factor 2 subunit gamma(EIF2S3)
EIF2B1	eukaryotic translation initiation factor 2B subunit alpha(EIF2B1)
EIF2B2	eukaryotic translation initiation factor 2B subunit beta(EIF2B2)
EIF2B4	eukaryotic translation initiation factor 2B subunit delta(EIF2B4)
EIF2B5	eukaryotic translation initiation factor 2B subunit epsilon(EIF2B5)
EIF2B3	eukaryotic translation initiation factor 2B subunit gamma(EIF2B3)
EIF3A	eukaryotic translation initiation factor 3 subunit A(EIF3A)
EIF3B	eukaryotic translation initiation factor 3 subunit B(EIF3B)
EIF3C	eukaryotic translation initiation factor 3 subunit C(EIF3C)
EIF3CL	eukaryotic translation initiation factor 3 subunit C-like(EIF3CL)
EIF3D	eukaryotic translation initiation factor 3 subunit D(EIF3D)
EIF3F	eukaryotic translation initiation factor 3 subunit F(EIF3F)
EIF3G	eukaryotic translation initiation factor 3 subunit G(EIF3G)
EIF3H	eukaryotic translation initiation factor 3 subunit H(EIF3H)
EIF4G1	eukaryotic translation initiation factor 4 gamma 1(EIF4G1)
EIF4G2	eukaryotic translation initiation factor 4 gamma 2(EIF4G2)
EIF4G3	eukaryotic translation initiation factor 4 gamma 3(EIF4G3)
EIF4A2	eukaryotic translation initiation factor 4A2(EIF4A2)
EIF4B	eukaryotic translation initiation factor 4B(EIF4B)
EIF4E	eukaryotic translation initiation factor 4E(EIF4E)
EIF5	eukaryotic translation initiation factor 5(EIF5)
EIF5B	eukaryotic translation initiation factor 5B(EIF5B)
EXOSC1	exosome component 1(EXOSC1)
EXOSC2	exosome component 2(EXOSC2)
EXOSC3	exosome component 3(EXOSC3)
EXOSC4	exosome component 4(EXOSC4)
EXOSC5	exosome component 5(EXOSC5)
EXOSC7	exosome component 7(EXOSC7)
EXOSC9	exosome component 9(EXOSC9)
FIP1L1	factor interacting with PAPOLA and CPSF1(FIP1L1)
GMPS	guanine monophosphate synthase(GMPS)
HSD11B1	hydroxysteroid 11-beta dehydrogenase 1(HSD11B1)
IMPDH1	inosine monophosphate dehydrogenase 1(IMPDH1)
IP6K1	inositol hexakisphosphate kinase 1(IP6K1)
LIPT2	lipoyl(octanoyl) transferase 2 (putative)(LIPT2)
MVD	mevalonate diphosphate decarboxylase(MVD)
MDN1	midasin AAA ATPase 1(MDN1)
MRPL13	mitochondrial ribosomal protein L13(MRPL13)
MRPL15	mitochondrial ribosomal protein L15(MRPL15)
MRPL2	mitochondrial ribosomal protein L2(MRPL2)
MRPL27	mitochondrial ribosomal protein L27(MRPL27)
MRPL36	mitochondrial ribosomal protein L36(MRPL36)
MRPS2	mitochondrial ribosomal protein S2(MRPS2)
MRPS9	mitochondrial ribosomal protein S9(MRPS9)
MOCS2	molybdenum cofactor synthesis 2(MOCS2)
NEGR1	neuronal growth regulator 1(NEGR1)
NPBWR1	neuropeptides B/W receptor 1(NPBWR1)
NVL	nuclear VCP-like(NVL)
NOL6	nucleolar protein 6(NOL6)
PNPLA7	patatin like phospholipase domain containing 7(PNPLA7)
PPAT	phosphoribosyl pyrophosphate amidotransferase(PPAT)
PABPN1L	"poly(A) binding protein nuclear 1 like, cytoplasmic(PABPN1L)"
PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)(PDCD4)
PSTPIP1	proline-serine-threonine phosphatase interacting protein 1(PSTPIP1)
PPP1CC	protein phosphatase 1 catalytic subunit gamma(PPP1CC)
RSL24D1	ribosomal L24 domain containing 1(RSL24D1)
RPL10	ribosomal protein L10(RPL10)
RPL10A	ribosomal protein L10a(RPL10A)
RPL11	ribosomal protein L11(RPL11)
RPL12	ribosomal protein L12(RPL12)
RPL13	ribosomal protein L13(RPL13)
RPL13A	ribosomal protein L13a(RPL13A)
RPL14	ribosomal protein L14(RPL14)
RPL15	ribosomal protein L15(RPL15)
RPL18A	ribosomal protein L18a(RPL18A)
RPL19	ribosomal protein L19(RPL19)
RPL22L1	ribosomal protein L22 like 1(RPL22L1)
RPL22	ribosomal protein L22(RPL22)
RPL26L1	ribosomal protein L26 like 1(RPL26L1)
RPL26	ribosomal protein L26(RPL26)
RPL27	ribosomal protein L27(RPL27)
RPL28	ribosomal protein L28(RPL28)
RPL29	ribosomal protein L29(RPL29)
RPL3L	ribosomal protein L3 like(RPL3L)
RPL3	ribosomal protein L3(RPL3)
RPL30	ribosomal protein L30(RPL30)
RPL32	ribosomal protein L32(RPL32)
RPL34	ribosomal protein L34(RPL34)
RPL35	ribosomal protein L35(RPL35)
RPL35A	ribosomal protein L35a(RPL35A)
RPL36	ribosomal protein L36(RPL36)
RPL36AL	ribosomal protein L36a like(RPL36AL)
RPL37	ribosomal protein L37(RPL37)
RPL37A	ribosomal protein L37a(RPL37A)
RPL38	ribosomal protein L38(RPL38)
RPL39	ribosomal protein L39(RPL39)
RPL5	ribosomal protein L5(RPL5)
RPL6	ribosomal protein L6(RPL6)
RPL7	ribosomal protein L7(RPL7)
RPL7A	ribosomal protein L7a(RPL7A)
RPL8	ribosomal protein L8(RPL8)
RPL9	ribosomal protein L9(RPL9)
RPS10	ribosomal protein S10(RPS10)
RPS12	ribosomal protein S12(RPS12)
RPS13	ribosomal protein S13(RPS13)
RPS14	ribosomal protein S14(RPS14)
RPS15	ribosomal protein S15(RPS15)
RPS15A	ribosomal protein S15a(RPS15A)
RPS16	ribosomal protein S16(RPS16)
RPS17	ribosomal protein S17(RPS17)
RPS19	ribosomal protein S19(RPS19)
RPS2	ribosomal protein S2(RPS2)
RPS21	ribosomal protein S21(RPS21)
RPS24	ribosomal protein S24(RPS24)
RPS27	ribosomal protein S27(RPS27)
RPS29	ribosomal protein S29(RPS29)
RPS3	ribosomal protein S3(RPS3)
RPS3A	ribosomal protein S3A(RPS3A)
RPS4X	"ribosomal protein S4, X-linked(RPS4X)"
RPS4Y1	"ribosomal protein S4, Y-linked 1(RPS4Y1)"
RPS6	ribosomal protein S6(RPS6)
RPS7	ribosomal protein S7(RPS7)
RPS8	ribosomal protein S8(RPS8)
RPLP0	ribosomal protein lateral stalk subunit P0(RPLP0)
RPLP1	ribosomal protein lateral stalk subunit P1(RPLP1)
RPLP2	ribosomal protein lateral stalk subunit P2(RPLP2)
SDSL	serine dehydratase like(SDSL)
SHMT1	serine hydroxymethyltransferase 1(SHMT1)
SARS2	"seryl-tRNA synthetase 2, mitochondrial(SARS2)"
SHROOM4	shroom family member 4(SHROOM4)
SOAT1	sterol O-acyltransferase 1(SOAT1)
TTC37	tetratricopeptide repeat domain 37(TTC37)
TBL3	transducin beta like 3(TBL3)
TRAM1	translocation associated membrane protein 1(TRAM1)
YARS	tyrosyl-tRNA synthetase(YARS)
UROD	uroporphyrinogen decarboxylase(UROD)
XYLB	xylulokinase(XYLB)
