ENO1,12,23
MYO6,16,23
NCL,1,23
NEXN,16,23
NOLC1,6,23
NOP56,1,23
NOP58,6,23
NPM1,16,23
NSFL1C,20,23
NUB1,21,23
NUMA1,6,23
NVL,3,23
OTUD7B,12,23
P4HB,6,23
PABPC1,11,23
PAWR,16,23
PCMT1,16,23
PDLIM7,16,23
PEX19,12,23
PGAM2,23,23
PGD,23,23
PGK1,23,23
PHGDH,16,23
PKM,23,23
PLEC,16,23
PLK1,1,23
PLS3,16,23
POLR1D,20,23
POLR2A,6,23
POLR2C,6,23
POLR2D,6,23
POLR2E,6,23
POLR2G,6,23
POLR2K,6,23
PPA1,23,23
PSMA2,1,23
RDX,19,23
REL,12,23
SHFM1,23,23
ENSG00000197597,20,23
ENSG00000212695,3,23
8-Sep,4,23
GTF3C4,1,23
SRSF1,6,23
ATG3,14,23
ATP2C1,14,23
EXOC6,14,23
EXOSC1,3,23
MYH11,22,23
PNO1,3,23
PPA2,23,23
PPP1R12C,22,23
PPP1R3A,22,23
SDHAF2,24,23
TM9SF1,12,23
TMSB4X,24,23
TNPO3,23,23
TOP2B,20,23
TOX3,20,23
TRAPPC5,14,23
TRMU,20,23
TRUB1,14,23
TSR3,14,23
TUBB1,23,23
TYW1,3,23
UBA2,14,23
VPS4B,14,23
WDR74,3,23
ENSG00000196285,20,23
ENSG00000160220,3,23
CTR9,13,23
DDX10,3,23
EIF2D,3,23
BPNT1,18,23
DSP,12,23
FBXW11,12,23
FKBP5,12,23
LGALS3BP,13,23
LSM12,3,23
ENSG00000147507,15,23
NDE1,4,23
NDEL1,4,23
ARFGAP2,14,23
DUS1L,17,23
LIMK2,15,23
SEC14L4,14,23
TRIP10,14,23
ENSG00000112526,20,23
ARAF,15,23
CRYAB,22,23
MAPK14,15,23
PTPN6,25,23
SYNJ1,25,23
TOM1L1,4,23
COPS7B,21,23
DCC,13,23
ADRM1,23,23
ERLEC1,19,23
ENSG00000215902,11,23
TJP2,22,23
GLS2,23,23
MAPK8,15,23
GMNN,23,23
POLA1,20,23
PCNA,20,23
CCDC97,6,23
SRRM2,15,23
APOA1,13,23
DGKG,13,23
COL4A5,13,23
IGHV3-23,13,23
IGLC2,13,23
IGLC3,13,23
IL36RN,21,23
A4GNT,17,23
GALNT9,17,23
GBA,17,23
RAE1,2,23
AHR,21,23
CTBP2,21,23
HIST2H3D,20,23
SENP2,17,23
HADH,18,23
HMGCL,18,23
HMGCS2,18,23
ARL15,24,23
PROX1,21,23
PTPRD,24,23
REPS2,12,23
LDLRAP1,13,23
ENSG00000182319,25,23
GOLGA1,11,23
GTPBP2,4,23
HMGA1,21,23
ICMT,22,23
DGKZ,25,23
GSTM2,8,23
VEGFA,25,23
FGF1,25,23
GDNF,25,23
HOXA6,21,23
PRDM15,19,23
XRCC1,21,23
FGF13,25,23
HTR6,22,23
ITGA6,13,23
BHMT,13,23
RRAGC,2,23
TRAF7,18,23
DOK5,25,23
SOCS4,25,23
CACNG2,22,23
PTPRR,15,23
MLLT10,4,23
POLD3,20,23
TAF7,20,23
GUCY1A2,6,23
GUCY1A3,6,23
SASS6,4,23
TNRC6C,15,23
LDHB,23,23
ITGA4,13,23
KCNH2,24,23
LCP1,17,23
MEP1B,25,23
PHOX2A,21,23
DCLK1,22,23
MOSPD2,14,23
GPATCH11,23,23
PPIH,6,23
NIPBL,21,23
NRIP2,6,23
GPT2,23,23
SHMT1,3,23
UROD,3,23
DTNA,4,23
NPAT,23,23
APAF1,19,23
TIMM23,14,23
ME1,23,23
GAPDHS,23,23
MAT2B,22,23
NTHL1,23,23
MDFI,4,23
TAB3,12,23
TNFRSF17,19,23
MAN1A2,21,23
MAN1B1,14,23
UTP20,3,23
PPP2R5C,20,23
MYCN,21,23
ENSG00000196435,11,23
FANCD2,1,23
MYO9A,1,23
P4HA1,1,23
PLOD3,1,23
RPP30,1,23
ACTN2,22,23
ATP5A1,15,23
CLTC,14,23
CRNKL1,6,23
DDX6,16,23
EIF3M,12,23
GNB1,22,23
LSM2,6,23
MRPL27,3,23
NAF1,14,23
NOP2,3,23
PSMC5,23,23
SRR,23,23
QARS,23,23
USP4,21,23
ENSG00000180733,21,23
SPCS3,14,23
BCOR,21,23
ASH2L,21,23
HCFC2,21,23
ASMT,18,23
CYP2A13,18,23
IL1A,19,23
PKD2,14,23
ENSG00000211889,25,23
ENSG00000206509,4,23
PHACTR3,1,23
ABCD1,18,23
AGPAT9,4,23
IGDCC4,13,23
KRT6B,13,23
EHBP1,13,23
EIF1AD,21,23
MT-ATP6,23,23
SLC25A16,23,23
TAF3,20,23
XRCC2,9,23
NDUFAF4,9,23
RASSF1,19,23
OAZ1,18,23
OAZ2,18,23
PACSIN2,4,23
PREX1,22,23
NCKIPSD,4,23
ING5,24,23
MOK,21,23
FBN2,13,23
DUSP4,15,23
FBP2,22,23
KCNA1,22,23
KRT34,22,23
KRT82,4,23
PRRC2B,4,23
HRH2,22,23
GNA12,22,23
RAB18,22,23
RCN1,12,23
TLR1,18,23
BDKRB2,22,23
SLC39A7,4,23
ENSG00000206288,4,23
NLRP1,13,23
NRBP1,4,23
ENSG00000198277,8,23
ENSG00000197592,8,23
GAS8,9,23
MRPL24,4,23
VPS26B,14,23
EDC3,25,23
TMEM131,16,23
PRUNE,23,23
TMEM106A,20,23
FHOD3,1,23
RUNDC3A,12,23
ZNF547,17,23
CCL3L1,8,23
CXCR3,8,23
CCR3,8,23
PDE6G,6,23
IGF2BP3,17,23
SAR1A,18,23
ACPP,13,23
APOL1,13,23
CD40LG,13,23
TACO1,6,23
E2F2,21,23
C7orf25,24,23
GEM,22,23
ARVCF,12,23
HABP2,13,23
NFATC3,22,23
SYT11,22,23
TRIB2,4,23
RNF220,21,23
LGALS4,12,23
IFNA10,25,23
IFNA16,25,23
IL6,25,23
TOM1L2,4,23
SLC35A2,4,23
CCNE2,21,23
TLR2,18,23
CAND1,21,23
UBALD1,3,23
FBXL14,4,23
CCDC43,13,23
NR1H4,21,23
NKIRAS1,21,23
CLDN8,12,23
GJA8,22,23
CLASP1,22,23
NBPF3,13,23
ENSG00000206407,17,23
DPPA2,4,23
FAM153A,1,23
GNAL,22,23
TRMT2A,23,23
NR4A1,21,23
ENSG00000205175,23,23
NAT2,19,23
KCTD13,4,23
NAGK,17,23
