ATP2A2,1,18
BCR,1,17
CCT2,1,20
CCT3,1,10
CSE1L,1,16
DDX3X,1,11
DDX52,1,3
DNAJA2,1,11
DNAJA3,1,19
EEF1GP1,1,19
EIF3E,1,15
EIF3I,1,15
FBXW7,1,15
HADHB,1,19
HIST1H2BL,1,19
HNRNPF,1,6
HNRNPK,1,6
HSPB1,1,4
HSPH1,1,4
HUWE1,1,4
IDH3G,1,4
IPO4,1,4
IPO7,1,10
IRAK1,1,10
KPNA2,1,10
KPNB1,1,0
LONP1,1,1
LRPPRC,1,1
MARS,1,13
MCM7,1,13
MYBBP1A,1,6
NCL,1,23
NOP56,1,23
OAT,1,3
PLK1,1,23
PSMA1,1,22
PSMA2,1,23
PSMA3,1,4
PSMA4,1,22
PSMA5,1,22
PSMA7,1,22
PSMB1,1,4
PSMB3,1,4
PSMB4,1,4
PSMB5,1,4
PSMC1,1,4
PSMC3,1,13
PSMC4,1,14
PSMC6,1,14
PSMD4,1,14
SARS,1,21
SKP1,1,21
SMC4,1,21
SQRDL,1,21
SQSTM1,1,21
TMPO,1,21
TRRAP,1,2
U2SURP,1,2
XPO1,1,2
XRCC6,1,2
YWHAE,1,20
YWHAQ,1,21
ENSG00000215769,1,5
HDAC1,1,1
SPTLC1,1,1
XRN1,1,1
C1QBP,1,1
TUBG1,1,1
DYNC1H1,1,13
MSH2,1,8
XPO5,1,13
AASS,1,19
ABCB7,1,8
ACOT8,1,8
AKAP8L,1,17
ALDH18A1,1,17
ARF4,1,17
ARHGEF2,1,17
ARL1,1,17
ATP1A1,1,17
CCT6A,1,13
CEPT1,1,8
CHD4,1,8
COPG1,1,13
COPG2,1,8
CYR61,1,8
DDX1,1,8
DHX15,1,15
EFTUD2,1,9
EIF4ENIF1,1,19
EP400,1,18
ERCC3,1,15
ETFA,1,5
FBXW8,1,6
GANAB,1,4
GCDH,1,18
GTF3C1,1,18
GTF3C2,1,6
GTF3C3,1,8
GTF3C4,1,23
HDAC2,1,8
HELLS,1,12
HIGD1A,1,12
IDH3A,1,8
IGF2BP1,1,12
IGF2BP2,1,6
ILVBL,1,10
IPO13,1,10
IPO9,1,10
IQGAP3,1,11
MAPKAP1,1,10
MAX,1,10
MOGS,1,1
MRPS22,1,3
MRPS34,1,1
MSH3,1,22
